Date,IB_USD_TND,IB_EUR_TND,IB_GBP_TND,IB_JPY_TND,FIX_USD_Bid,FIX_USD_Ask,FIX_USD_Mid,FIX_EUR_Bid,FIX_EUR_Ask,FIX_EUR_Mid,EUR_USD,GBP_USD,USD_JPY,SPREAD_USD,SPREAD_EUR,ret_EUR_USD,ret_GBP_USD,ret_USD_JPY,ret_FIX_USD
2020-05-19,2.885,3.1668,3.5371,26.8631,2.8898,2.8926,2.8912,3.1661,3.1692,3.16765,1.0921,1.2251,107.68,-0.006200000000000205,-0.0008500000000002395,0.0008244401144851671,0.005073660638334115,0.003255665402984498,-0.008181026140858139
2020-05-20,2.8851,3.1659,3.5434,26.8708,2.8917,2.8945,2.8931,3.1644,3.1675,3.16595,1.0977,1.2239,107.51,-0.008000000000000007,-4.999999999988347e-05,0.005114633489587947,-0.0009799919118321787,-0.0015799993992811068,0.0006569507350360215
2020-05-21,2.8929,3.1706,3.5308,26.7849,2.8854,2.8882,2.8868,3.17,3.1731,3.17155,1.0949,1.2222,107.61,0.006099999999999994,-0.0009500000000000064,-0.002554046813891528,-0.00138996792747767,0.0009297137151644819,-0.0021799693748818516
2020-05-22,2.906,3.1655,3.5299,26.9836,2.8998,2.9026,2.9012,3.1619,3.165,3.16345,1.09,1.2164,107.61,0.0048000000000003595,0.0020500000000001073,-0.004485338656189733,-0.004756836657605568,0.0,0.0049758222911391314
2020-05-25,2.906,3.1655,3.5299,26.9836,2.8998,2.9026,2.9012,3.1619,3.165,3.16345,1.0899,1.2182,107.69,,0.0020500000000001073,-9.174732792342766e-05,0.0014786825991746633,0.0007431491284881631,
2020-05-26,2.9015,3.1793,3.5572,26.8428,2.8903,2.8931,2.8917,3.1663,3.1694,3.16785,1.098,1.2331,107.52,0.009799999999999809,0.01144999999999996,0.007404394174209988,0.01215696447410064,-0.0015798525659498353,
2020-05-27,2.8984,3.18,3.5521,26.7435,2.8804,2.8832,2.8818,3.1738,3.1769,3.17535,1.1003,1.225,107.71,0.016599999999999948,0.004650000000000265,0.0020925268063910207,-0.006590479897657403,0.0017655535878393636,-0.00342946555919843
2020-05-28,2.89,3.1783,3.5302,26.7567,2.8837,2.8865,2.8851,3.1737,3.1768,3.17525,1.1076,1.2316,107.63,0.0049000000000001265,0.003049999999999997,0.00661264242093966,0.005373293071517904,-0.0007430110864721229,0.0011444624877119391
2020-05-29,2.8767,3.188,3.535,26.6909,2.8592,2.8621,2.86065,3.1848,3.1879,3.18635,1.1098,1.2344,107.77,0.016049999999999898,0.0016500000000001513,0.001984306594994073,0.002270884998605699,0.0012999073325339339,-0.008510689667908578
2020-06-01,2.8691,3.188,3.5514,26.6188,2.8675,2.8703,2.8689,3.1849,3.188,3.18645,1.1134,1.2492,107.58,0.00019999999999997797,0.0015500000000003844,0.0032385778576065616,0.01191832435997256,-0.0017645697636439195,0.0028798093049695606
